type,name,value,actual_value
aerialWonPerGame,"Luke Shaw, Defender",36.57,1.14
manOfTheMatch,"Luke Shaw, Defender",0.0,0.0
passSuccess,"Luke Shaw, Defender",94.58,85.71
all_rating,"Luke Shaw, Defender",54.24,6.93
goalOwn,"Luke Shaw, Defender",0.0,0.0
tacklePerGame,"Luke Shaw, Defender",38.68,1.14
interceptionPerGame,"Luke Shaw, Defender",56.29,1.71
foulsPerGame,"Luke Shaw, Defender",25.88,0.57
offsideWonPerGame,"Luke Shaw, Defender",0.0,0.0
clearancePerGame,"Luke Shaw, Defender",29.74,2.43
wasDribbledPerGame,"Luke Shaw, Defender",28.57,0.57
outfielderBlockPerGame,"Luke Shaw, Defender",19.05,0.14
defensive_rating,"Luke Shaw, Defender",54.24,6.93
keyPassPerGame,"Luke Shaw, Defender",29.81,0.57
dribbleWonPerGame,"Luke Shaw, Defender",45.71,1.14
foulGivenPerGame,"Luke Shaw, Defender",24.49,0.57
offsideGivenPerGame,"Luke Shaw, Defender",0.0,0.0
dispossessedPerGame,"Luke Shaw, Defender",26.79,0.57
turnoverPerGame,"Luke Shaw, Defender",37.5,1.0
offensive_rating,"Luke Shaw, Defender",54.24,6.93
totalPassesPerGame,"Luke Shaw, Defender",50.91,38.0
accurateCrossesPerGame,"Luke Shaw, Defender",25.48,0.43
accurateLongPassPerGame,"Luke Shaw, Defender",9.28,0.86
accurateThroughBallPerGame,"Luke Shaw, Defender",0.0,0.0
passing_rating,"Luke Shaw, Defender",54.24,6.93
shotSixYardBox,"Luke Shaw, Defender",0.0,0.0
shotPenaltyArea,"Luke Shaw, Defender",5.71,0.14
shotOboxTotal,"Luke Shaw, Defender",14.29,0.29
shotsTotal,"Luke Shaw, Defender",10.08,0.43
detailed_rating,"Luke Shaw, Defender",54.24,6.93
goal,"Wayne Rooney, Forward",13.33,2.0
assistTotal,"Wayne Rooney, Forward",100.0,5.0
shotsPerGame,"Wayne Rooney, Forward",38.75,1.65
aerialWonPerGame,"Wayne Rooney, Forward",9.41,0.29
manOfTheMatch,"Wayne Rooney, Forward",0.0,0.0
passSuccess,"Wayne Rooney, Forward",93.35,84.6
all_rating,"Wayne Rooney, Forward",48.43,6.82
goalOwn,"Wayne Rooney, Forward",0.0,0.0
tacklePerGame,"Wayne Rooney, Forward",31.86,0.94
interceptionPerGame,"Wayne Rooney, Forward",17.38,0.53
foulsPerGame,"Wayne Rooney, Forward",37.29,0.82
offsideWonPerGame,"Wayne Rooney, Forward",0.0,0.0
clearancePerGame,"Wayne Rooney, Forward",3.6,0.29
wasDribbledPerGame,"Wayne Rooney, Forward",23.53,0.47
outfielderBlockPerGame,"Wayne Rooney, Forward",15.69,0.12
defensive_rating,"Wayne Rooney, Forward",48.43,6.82
keyPassPerGame,"Wayne Rooney, Forward",70.59,1.35
dribbleWonPerGame,"Wayne Rooney, Forward",25.88,0.65
foulGivenPerGame,"Wayne Rooney, Forward",17.65,0.41
offsideGivenPerGame,"Wayne Rooney, Forward",16.13,0.24
dispossessedPerGame,"Wayne Rooney, Forward",71.69,1.53
turnoverPerGame,"Wayne Rooney, Forward",30.88,0.82
offensive_rating,"Wayne Rooney, Forward",48.43,6.82
totalPassesPerGame,"Wayne Rooney, Forward",39.41,29.41
accurateCrossesPerGame,"Wayne Rooney, Forward",80.45,1.35
accurateLongPassPerGame,"Wayne Rooney, Forward",25.46,2.35
accurateThroughBallPerGame,"Wayne Rooney, Forward",0.0,0.0
passing_rating,"Wayne Rooney, Forward",48.43,6.82
shotSixYardBox,"Wayne Rooney, Forward",51.34,0.24
shotPenaltyArea,"Wayne Rooney, Forward",28.24,0.71
shotOboxTotal,"Wayne Rooney, Forward",35.29,0.71
shotsTotal,"Wayne Rooney, Forward",38.75,1.65
detailed_rating,"Wayne Rooney, Forward",48.43,6.82
goal,"Michael Carrick, Midfielder",0.0,0.0
assistTotal,"Michael Carrick, Midfielder",0.0,0.0
shotsPerGame,"Michael Carrick, Midfielder",6.42,0.27
aerialWonPerGame,"Michael Carrick, Midfielder",17.45,0.55
manOfTheMatch,"Michael Carrick, Midfielder",0.0,0.0
passSuccess,"Michael Carrick, Midfielder",100.0,90.63
all_rating,"Michael Carrick, Midfielder",48.2,6.82
goalOwn,"Michael Carrick, Midfielder",0.0,0.0
tacklePerGame,"Michael Carrick, Midfielder",40.0,1.18
interceptionPerGame,"Michael Carrick, Midfielder",74.63,2.27
foulsPerGame,"Michael Carrick, Midfielder",8.23,0.18
offsideWonPerGame,"Michael Carrick, Midfielder",15.91,0.09
clearancePerGame,"Michael Carrick, Midfielder",22.26,1.82
wasDribbledPerGame,"Michael Carrick, Midfielder",50.0,1.0
outfielderBlockPerGame,"Michael Carrick, Midfielder",48.48,0.36
defensive_rating,"Michael Carrick, Midfielder",48.2,6.82
keyPassPerGame,"Michael Carrick, Midfielder",14.23,0.27
dribbleWonPerGame,"Michael Carrick, Midfielder",7.27,0.18
foulGivenPerGame,"Michael Carrick, Midfielder",50.65,1.18
offsideGivenPerGame,"Michael Carrick, Midfielder",0.0,0.0
dispossessedPerGame,"Michael Carrick, Midfielder",4.26,0.09
turnoverPerGame,"Michael Carrick, Midfielder",10.23,0.27
offensive_rating,"Michael Carrick, Midfielder",48.2,6.82
totalPassesPerGame,"Michael Carrick, Midfielder",81.85,61.09
accurateCrossesPerGame,"Michael Carrick, Midfielder",0.0,0.0
accurateLongPassPerGame,"Michael Carrick, Midfielder",40.34,3.73
accurateThroughBallPerGame,"Michael Carrick, Midfielder",0.0,0.0
passing_rating,"Michael Carrick, Midfielder",48.2,6.82
shotSixYardBox,"Michael Carrick, Midfielder",0.0,0.0
shotPenaltyArea,"Michael Carrick, Midfielder",0.0,0.0
shotOboxTotal,"Michael Carrick, Midfielder",13.64,0.27
shotsTotal,"Michael Carrick, Midfielder",6.42,0.27
detailed_rating,"Michael Carrick, Midfielder",48.2,6.82
goal,"Marouane Fellaini, Midfielder",0.0,0.0
assistTotal,"Marouane Fellaini, Midfielder",0.0,0.0
shotsPerGame,"Marouane Fellaini, Midfielder",16.1,0.68
aerialWonPerGame,"Marouane Fellaini, Midfielder",99.37,3.11
manOfTheMatch,"Marouane Fellaini, Midfielder",0.0,0.0
passSuccess,"Marouane Fellaini, Midfielder",97.61,88.46
all_rating,"Marouane Fellaini, Midfielder",46.18,6.78
goalOwn,"Marouane Fellaini, Midfielder",0.0,0.0
tacklePerGame,"Marouane Fellaini, Midfielder",55.22,1.63
interceptionPerGame,"Marouane Fellaini, Midfielder",29.38,0.89
foulsPerGame,"Marouane Fellaini, Midfielder",52.43,1.16
offsideWonPerGame,"Marouane Fellaini, Midfielder",0.0,0.0
clearancePerGame,"Marouane Fellaini, Midfielder",19.98,1.63
wasDribbledPerGame,"Marouane Fellaini, Midfielder",57.89,1.16
outfielderBlockPerGame,"Marouane Fellaini, Midfielder",35.09,0.26
defensive_rating,"Marouane Fellaini, Midfielder",46.18,6.78
keyPassPerGame,"Marouane Fellaini, Midfielder",21.97,0.42
dribbleWonPerGame,"Marouane Fellaini, Midfielder",23.16,0.58
foulGivenPerGame,"Marouane Fellaini, Midfielder",20.3,0.47
offsideGivenPerGame,"Marouane Fellaini, Midfielder",10.83,0.16
dispossessedPerGame,"Marouane Fellaini, Midfielder",22.2,0.47
turnoverPerGame,"Marouane Fellaini, Midfielder",29.61,0.79
offensive_rating,"Marouane Fellaini, Midfielder",46.18,6.78
totalPassesPerGame,"Marouane Fellaini, Midfielder",43.37,32.37
accurateCrossesPerGame,"Marouane Fellaini, Midfielder",0.0,0.0
accurateLongPassPerGame,"Marouane Fellaini, Midfielder",9.68,0.89
accurateThroughBallPerGame,"Marouane Fellaini, Midfielder",0.0,0.0
passing_rating,"Marouane Fellaini, Midfielder",46.18,6.78
shotSixYardBox,"Marouane Fellaini, Midfielder",11.48,0.05
shotPenaltyArea,"Marouane Fellaini, Midfielder",18.95,0.47
shotOboxTotal,"Marouane Fellaini, Midfielder",7.89,0.16
shotsTotal,"Marouane Fellaini, Midfielder",16.1,0.68
detailed_rating,"Marouane Fellaini, Midfielder",46.18,6.78
goal,"Chris Smalling, Defender",6.67,1.0
assistTotal,"Chris Smalling, Defender",20.0,1.0
shotsPerGame,"Chris Smalling, Defender",10.08,0.43
aerialWonPerGame,"Chris Smalling, Defender",84.57,2.64
manOfTheMatch,"Chris Smalling, Defender",0.0,0.0
passSuccess,"Chris Smalling, Defender",99.22,89.92
all_rating,"Chris Smalling, Defender",42.49,6.71
goalOwn,"Chris Smalling, Defender",0.0,0.0
tacklePerGame,"Chris Smalling, Defender",21.76,0.64
interceptionPerGame,"Chris Smalling, Defender",18.76,0.57
foulsPerGame,"Chris Smalling, Defender",22.64,0.5
offsideWonPerGame,"Chris Smalling, Defender",37.5,0.21
clearancePerGame,"Chris Smalling, Defender",78.72,6.43
wasDribbledPerGame,"Chris Smalling, Defender",10.71,0.21
outfielderBlockPerGame,"Chris Smalling, Defender",47.62,0.36
defensive_rating,"Chris Smalling, Defender",42.49,6.71
keyPassPerGame,"Chris Smalling, Defender",7.45,0.14
dribbleWonPerGame,"Chris Smalling, Defender",0.0,0.0
foulGivenPerGame,"Chris Smalling, Defender",15.31,0.36
offsideGivenPerGame,"Chris Smalling, Defender",4.9,0.07
dispossessedPerGame,"Chris Smalling, Defender",3.35,0.07
turnoverPerGame,"Chris Smalling, Defender",2.68,0.07
offensive_rating,"Chris Smalling, Defender",42.49,6.71
totalPassesPerGame,"Chris Smalling, Defender",34.17,25.5
accurateCrossesPerGame,"Chris Smalling, Defender",0.0,0.0
accurateLongPassPerGame,"Chris Smalling, Defender",12.37,1.14
accurateThroughBallPerGame,"Chris Smalling, Defender",0.0,0.0
passing_rating,"Chris Smalling, Defender",42.49,6.71
shotSixYardBox,"Chris Smalling, Defender",0.0,0.0
shotPenaltyArea,"Chris Smalling, Defender",17.14,0.43
shotOboxTotal,"Chris Smalling, Defender",0.0,0.0
shotsTotal,"Chris Smalling, Defender",10.08,0.43
detailed_rating,"Chris Smalling, Defender",42.49,6.71
goal,"Jesse Lingard, Midfielder",0.0,0.0
assistTotal,"Jesse Lingard, Midfielder",40.0,2.0
shotsPerGame,"Jesse Lingard, Midfielder",36.2,1.54
aerialWonPerGame,"Jesse Lingard, Midfielder",7.38,0.23
manOfTheMatch,"Jesse Lingard, Midfielder",0.0,0.0
passSuccess,"Jesse Lingard, Midfielder",98.75,89.49
all_rating,"Jesse Lingard, Midfielder",40.43,6.68
goalOwn,"Jesse Lingard, Midfielder",0.0,0.0
tacklePerGame,"Jesse Lingard, Midfielder",26.04,0.77
interceptionPerGame,"Jesse Lingard, Midfielder",17.68,0.54
foulsPerGame,"Jesse Lingard, Midfielder",41.8,0.92
offsideWonPerGame,"Jesse Lingard, Midfielder",0.0,0.0
clearancePerGame,"Jesse Lingard, Midfielder",3.77,0.31
wasDribbledPerGame,"Jesse Lingard, Midfielder",11.54,0.23
outfielderBlockPerGame,"Jesse Lingard, Midfielder",10.26,0.08
defensive_rating,"Jesse Lingard, Midfielder",40.43,6.68
keyPassPerGame,"Jesse Lingard, Midfielder",80.27,1.54
dribbleWonPerGame,"Jesse Lingard, Midfielder",15.38,0.38
foulGivenPerGame,"Jesse Lingard, Midfielder",9.89,0.23
offsideGivenPerGame,"Jesse Lingard, Midfielder",10.55,0.15
dispossessedPerGame,"Jesse Lingard, Midfielder",39.66,0.85
turnoverPerGame,"Jesse Lingard, Midfielder",34.62,0.92
offensive_rating,"Jesse Lingard, Midfielder",40.43,6.68
totalPassesPerGame,"Jesse Lingard, Midfielder",36.28,27.08
accurateCrossesPerGame,"Jesse Lingard, Midfielder",22.87,0.38
accurateLongPassPerGame,"Jesse Lingard, Midfielder",2.5,0.23
accurateThroughBallPerGame,"Jesse Lingard, Midfielder",15.38,0.08
passing_rating,"Jesse Lingard, Midfielder",40.43,6.68
shotSixYardBox,"Jesse Lingard, Midfielder",50.35,0.23
shotPenaltyArea,"Jesse Lingard, Midfielder",30.77,0.77
shotOboxTotal,"Jesse Lingard, Midfielder",26.92,0.54
shotsTotal,"Jesse Lingard, Midfielder",36.2,1.54
detailed_rating,"Jesse Lingard, Midfielder",40.43,6.68
goal,"Ashley Young, Midfielder",0.0,0.0
assistTotal,"Ashley Young, Midfielder",0.0,0.0
shotsPerGame,"Ashley Young, Midfielder",4.71,0.2
aerialWonPerGame,"Ashley Young, Midfielder",12.8,0.4
manOfTheMatch,"Ashley Young, Midfielder",0.0,0.0
passSuccess,"Ashley Young, Midfielder",94.46,85.61
all_rating,"Ashley Young, Midfielder",35.79,6.59
goalOwn,"Ashley Young, Midfielder",0.0,0.0
tacklePerGame,"Ashley Young, Midfielder",67.69,2.0
interceptionPerGame,"Ashley Young, Midfielder",45.97,1.4
foulsPerGame,"Ashley Young, Midfielder",9.06,0.2
offsideWonPerGame,"Ashley Young, Midfielder",0.0,0.0
clearancePerGame,"Ashley Young, Midfielder",24.49,2.0
wasDribbledPerGame,"Ashley Young, Midfielder",0.0,0.0
outfielderBlockPerGame,"Ashley Young, Midfielder",0.0,0.0
defensive_rating,"Ashley Young, Midfielder",35.79,6.59
keyPassPerGame,"Ashley Young, Midfielder",20.87,0.4
dribbleWonPerGame,"Ashley Young, Midfielder",8.0,0.2
foulGivenPerGame,"Ashley Young, Midfielder",34.29,0.8
offsideGivenPerGame,"Ashley Young, Midfielder",13.71,0.2
dispossessedPerGame,"Ashley Young, Midfielder",28.13,0.6
turnoverPerGame,"Ashley Young, Midfielder",37.5,1.0
offensive_rating,"Ashley Young, Midfielder",35.79,6.59
totalPassesPerGame,"Ashley Young, Midfielder",35.37,26.4
accurateCrossesPerGame,"Ashley Young, Midfielder",0.0,0.0
accurateLongPassPerGame,"Ashley Young, Midfielder",2.16,0.2
accurateThroughBallPerGame,"Ashley Young, Midfielder",0.0,0.0
passing_rating,"Ashley Young, Midfielder",35.79,6.59
shotSixYardBox,"Ashley Young, Midfielder",0.0,0.0
shotPenaltyArea,"Ashley Young, Midfielder",8.0,0.2
shotOboxTotal,"Ashley Young, Midfielder",0.0,0.0
shotsTotal,"Ashley Young, Midfielder",4.71,0.2
detailed_rating,"Ashley Young, Midfielder",35.79,6.59
goal,"David de Gea, Goalkeeper",0.0,0.0
assistTotal,"David de Gea, Goalkeeper",0.0,0.0
shotsPerGame,"David de Gea, Goalkeeper",0.0,0.0
aerialWonPerGame,"David de Gea, Goalkeeper",1.28,0.04
manOfTheMatch,"David de Gea, Goalkeeper",0.0,0.0
passSuccess,"David de Gea, Goalkeeper",68.01,61.63
all_rating,"David de Gea, Goalkeeper",34.31,6.57
goalOwn,"David de Gea, Goalkeeper",0.0,0.0
tacklePerGame,"David de Gea, Goalkeeper",0.0,0.0
interceptionPerGame,"David de Gea, Goalkeeper",0.0,0.0
foulsPerGame,"David de Gea, Goalkeeper",0.0,0.0
offsideWonPerGame,"David de Gea, Goalkeeper",0.0,0.0
clearancePerGame,"David de Gea, Goalkeeper",3.43,0.28
wasDribbledPerGame,"David de Gea, Goalkeeper",2.0,0.04
outfielderBlockPerGame,"David de Gea, Goalkeeper",0.0,0.0
defensive_rating,"David de Gea, Goalkeeper",34.31,6.57
keyPassPerGame,"David de Gea, Goalkeeper",0.0,0.0
dribbleWonPerGame,"David de Gea, Goalkeeper",0.0,0.0
foulGivenPerGame,"David de Gea, Goalkeeper",3.43,0.08
offsideGivenPerGame,"David de Gea, Goalkeeper",0.0,0.0
dispossessedPerGame,"David de Gea, Goalkeeper",0.0,0.0
turnoverPerGame,"David de Gea, Goalkeeper",0.0,0.0
offensive_rating,"David de Gea, Goalkeeper",34.31,6.57
totalPassesPerGame,"David de Gea, Goalkeeper",30.87,23.04
accurateCrossesPerGame,"David de Gea, Goalkeeper",0.0,0.0
accurateLongPassPerGame,"David de Gea, Goalkeeper",100.0,9.24
accurateThroughBallPerGame,"David de Gea, Goalkeeper",0.0,0.0
passing_rating,"David de Gea, Goalkeeper",34.31,6.57
shotSixYardBox,"David de Gea, Goalkeeper",0.0,0.0
shotPenaltyArea,"David de Gea, Goalkeeper",0.0,0.0
shotOboxTotal,"David de Gea, Goalkeeper",0.0,0.0
shotsTotal,"David de Gea, Goalkeeper",0.0,0.0
detailed_rating,"David de Gea, Goalkeeper",34.31,6.57
goal,"Marcus Rashford, Forward",20.0,3.0
assistTotal,"Marcus Rashford, Forward",20.0,1.0
shotsPerGame,"Marcus Rashford, Forward",29.41,1.25
aerialWonPerGame,"Marcus Rashford, Forward",4.8,0.15
manOfTheMatch,"Marcus Rashford, Forward",0.0,0.0
passSuccess,"Marcus Rashford, Forward",87.99,79.74
all_rating,"Marcus Rashford, Forward",31.56,6.52
goalOwn,"Marcus Rashford, Forward",0.0,0.0
tacklePerGame,"Marcus Rashford, Forward",13.54,0.4
interceptionPerGame,"Marcus Rashford, Forward",16.42,0.5
foulsPerGame,"Marcus Rashford, Forward",15.85,0.35
offsideWonPerGame,"Marcus Rashford, Forward",0.0,0.0
clearancePerGame,"Marcus Rashford, Forward",3.06,0.25
wasDribbledPerGame,"Marcus Rashford, Forward",17.5,0.35
outfielderBlockPerGame,"Marcus Rashford, Forward",0.0,0.0
defensive_rating,"Marcus Rashford, Forward",31.56,6.52
keyPassPerGame,"Marcus Rashford, Forward",36.52,0.7
dribbleWonPerGame,"Marcus Rashford, Forward",36.0,0.9
foulGivenPerGame,"Marcus Rashford, Forward",40.71,0.95
offsideGivenPerGame,"Marcus Rashford, Forward",10.29,0.15
dispossessedPerGame,"Marcus Rashford, Forward",39.84,0.85
turnoverPerGame,"Marcus Rashford, Forward",48.75,1.3
offensive_rating,"Marcus Rashford, Forward",31.56,6.52
totalPassesPerGame,"Marcus Rashford, Forward",25.46,19.0
accurateCrossesPerGame,"Marcus Rashford, Forward",20.81,0.35
accurateLongPassPerGame,"Marcus Rashford, Forward",2.16,0.2
accurateThroughBallPerGame,"Marcus Rashford, Forward",0.0,0.0
passing_rating,"Marcus Rashford, Forward",31.56,6.52
shotSixYardBox,"Marcus Rashford, Forward",32.73,0.15
shotPenaltyArea,"Marcus Rashford, Forward",38.0,0.95
shotOboxTotal,"Marcus Rashford, Forward",7.5,0.15
shotsTotal,"Marcus Rashford, Forward",29.41,1.25
detailed_rating,"Marcus Rashford, Forward",31.56,6.52
goal,"Morgan Schneiderlin, Midfielder",0.0,0.0
assistTotal,"Morgan Schneiderlin, Midfielder",0.0,0.0
shotsPerGame,"Morgan Schneiderlin, Midfielder",0.0,0.0
aerialWonPerGame,"Morgan Schneiderlin, Midfielder",0.0,0.0
manOfTheMatch,"Morgan Schneiderlin, Midfielder",0.0,0.0
passSuccess,"Morgan Schneiderlin, Midfielder",95.63,86.67
all_rating,"Morgan Schneiderlin, Midfielder",5.31,6.04
goalOwn,"Morgan Schneiderlin, Midfielder",0.0,0.0
tacklePerGame,"Morgan Schneiderlin, Midfielder",11.28,0.33
interceptionPerGame,"Morgan Schneiderlin, Midfielder",10.95,0.33
foulsPerGame,"Morgan Schneiderlin, Midfielder",0.0,0.0
offsideWonPerGame,"Morgan Schneiderlin, Midfielder",0.0,0.0
clearancePerGame,"Morgan Schneiderlin, Midfielder",0.0,0.0
wasDribbledPerGame,"Morgan Schneiderlin, Midfielder",0.0,0.0
outfielderBlockPerGame,"Morgan Schneiderlin, Midfielder",0.0,0.0
defensive_rating,"Morgan Schneiderlin, Midfielder",5.31,6.04
keyPassPerGame,"Morgan Schneiderlin, Midfielder",0.0,0.0
dribbleWonPerGame,"Morgan Schneiderlin, Midfielder",0.0,0.0
foulGivenPerGame,"Morgan Schneiderlin, Midfielder",14.29,0.33
offsideGivenPerGame,"Morgan Schneiderlin, Midfielder",0.0,0.0
dispossessedPerGame,"Morgan Schneiderlin, Midfielder",0.0,0.0
turnoverPerGame,"Morgan Schneiderlin, Midfielder",0.0,0.0
offensive_rating,"Morgan Schneiderlin, Midfielder",5.31,6.04
totalPassesPerGame,"Morgan Schneiderlin, Midfielder",6.7,5.0
accurateCrossesPerGame,"Morgan Schneiderlin, Midfielder",0.0,0.0
accurateLongPassPerGame,"Morgan Schneiderlin, Midfielder",0.0,0.0
accurateThroughBallPerGame,"Morgan Schneiderlin, Midfielder",0.0,0.0
passing_rating,"Morgan Schneiderlin, Midfielder",5.31,6.04
shotSixYardBox,"Morgan Schneiderlin, Midfielder",0.0,0.0
shotPenaltyArea,"Morgan Schneiderlin, Midfielder",0.0,0.0
shotOboxTotal,"Morgan Schneiderlin, Midfielder",0.0,0.0
shotsTotal,"Morgan Schneiderlin, Midfielder",0.0,0.0
detailed_rating,"Morgan Schneiderlin, Midfielder",5.31,6.04
goal,"Timothy Fosu-Mensah, Defender",0.0,0.0
assistTotal,"Timothy Fosu-Mensah, Defender",0.0,0.0
shotsPerGame,"Timothy Fosu-Mensah, Defender",0.0,0.0
aerialWonPerGame,"Timothy Fosu-Mensah, Defender",0.0,0.0
manOfTheMatch,"Timothy Fosu-Mensah, Defender",0.0,0.0
passSuccess,"Timothy Fosu-Mensah, Defender",0.0,0.0
all_rating,"Timothy Fosu-Mensah, Defender",2.91,6.0
goalOwn,"Timothy Fosu-Mensah, Defender",0.0,0.0
tacklePerGame,"Timothy Fosu-Mensah, Defender",0.0,0.0
interceptionPerGame,"Timothy Fosu-Mensah, Defender",0.0,0.0
foulsPerGame,"Timothy Fosu-Mensah, Defender",0.0,0.0
offsideWonPerGame,"Timothy Fosu-Mensah, Defender",0.0,0.0
clearancePerGame,"Timothy Fosu-Mensah, Defender",0.0,0.0
wasDribbledPerGame,"Timothy Fosu-Mensah, Defender",0.0,0.0
outfielderBlockPerGame,"Timothy Fosu-Mensah, Defender",0.0,0.0
defensive_rating,"Timothy Fosu-Mensah, Defender",2.91,6.0
keyPassPerGame,"Timothy Fosu-Mensah, Defender",0.0,0.0
dribbleWonPerGame,"Timothy Fosu-Mensah, Defender",0.0,0.0
foulGivenPerGame,"Timothy Fosu-Mensah, Defender",0.0,0.0
offsideGivenPerGame,"Timothy Fosu-Mensah, Defender",0.0,0.0
dispossessedPerGame,"Timothy Fosu-Mensah, Defender",0.0,0.0
turnoverPerGame,"Timothy Fosu-Mensah, Defender",0.0,0.0
offensive_rating,"Timothy Fosu-Mensah, Defender",2.91,6.0
totalPassesPerGame,"Timothy Fosu-Mensah, Defender",0.0,0.0
accurateCrossesPerGame,"Timothy Fosu-Mensah, Defender",0.0,0.0
accurateLongPassPerGame,"Timothy Fosu-Mensah, Defender",0.0,0.0
accurateThroughBallPerGame,"Timothy Fosu-Mensah, Defender",0.0,0.0
passing_rating,"Timothy Fosu-Mensah, Defender",2.91,6.0
shotSixYardBox,"Timothy Fosu-Mensah, Defender",0.0,0.0
shotPenaltyArea,"Timothy Fosu-Mensah, Defender",0.0,0.0
shotOboxTotal,"Timothy Fosu-Mensah, Defender",0.0,0.0
shotsTotal,"Timothy Fosu-Mensah, Defender",0.0,0.0
detailed_rating,"Timothy Fosu-Mensah, Defender",2.91,6.0
goal,"Memphis Depay, Forward",0.0,0.0
assistTotal,"Memphis Depay, Forward",0.0,0.0
shotsPerGame,"Memphis Depay, Forward",0.0,0.0
aerialWonPerGame,"Memphis Depay, Forward",0.0,0.0
manOfTheMatch,"Memphis Depay, Forward",0.0,0.0
passSuccess,"Memphis Depay, Forward",78.82,71.43
all_rating,"Memphis Depay, Forward",0.0,5.95
goalOwn,"Memphis Depay, Forward",0.0,0.0
tacklePerGame,"Memphis Depay, Forward",8.46,0.25
interceptionPerGame,"Memphis Depay, Forward",0.0,0.0
foulsPerGame,"Memphis Depay, Forward",11.32,0.25
offsideWonPerGame,"Memphis Depay, Forward",0.0,0.0
clearancePerGame,"Memphis Depay, Forward",3.06,0.25
wasDribbledPerGame,"Memphis Depay, Forward",0.0,0.0
outfielderBlockPerGame,"Memphis Depay, Forward",0.0,0.0
defensive_rating,"Memphis Depay, Forward",0.0,5.95
keyPassPerGame,"Memphis Depay, Forward",0.0,0.0
dribbleWonPerGame,"Memphis Depay, Forward",0.0,0.0
foulGivenPerGame,"Memphis Depay, Forward",0.0,0.0
offsideGivenPerGame,"Memphis Depay, Forward",17.14,0.25
dispossessedPerGame,"Memphis Depay, Forward",23.44,0.5
turnoverPerGame,"Memphis Depay, Forward",18.75,0.5
offensive_rating,"Memphis Depay, Forward",0.0,5.95
totalPassesPerGame,"Memphis Depay, Forward",4.69,3.5
accurateCrossesPerGame,"Memphis Depay, Forward",0.0,0.0
accurateLongPassPerGame,"Memphis Depay, Forward",0.0,0.0
accurateThroughBallPerGame,"Memphis Depay, Forward",0.0,0.0
passing_rating,"Memphis Depay, Forward",0.0,5.95
shotSixYardBox,"Memphis Depay, Forward",0.0,0.0
shotPenaltyArea,"Memphis Depay, Forward",0.0,0.0
shotOboxTotal,"Memphis Depay, Forward",0.0,0.0
shotsTotal,"Memphis Depay, Forward",0.0,0.0
detailed_rating,"Memphis Depay, Forward",0.0,5.95
